"os_nr","os_navn","Dato","Tid","AMBI","H","S","fNA","N","psal","DKI"
90000958,"413",20230511,1200,1.09839581550108,3.12859455558293,38,0,308,33.6972826086957,0.731087543710948
90000961,"444",20230227,1200,2.81982142857143,2.10974009263008,6,0,53,15.77694,0.684215008811749
91000051,"HSD_G_OCM",20230422,1200,1.48330799598343,3.09796314092376,72,0.0132036136205698,1439,34.5001,0.698241077697879
91000078,"DMU1025",20230421,1200,1.36736013128118,3.07685349286701,73,0,2302,34.3767,0.705259021209451
91000079,"DMU1026",20230421,1200,1.60516895742451,2.68613903954418,68,0,2131,34.4746,0.649329531244873
91000080,"DMU1027",20230422,1200,1.49181544220792,3.05483495305879,74,0.0010482180293501,1908,34.5001,0.693513746197781
91000081,"DMU1044",20230421,1200,1.31695945640597,1.12152450188914,39,0,4953,34.1244,0.516831796246662
91000082,"DMU1046",20230423,1200,1.65330043349876,3.67932898445778,63,0,1382,34.6604,0.742244238755602
91000083,"DMU1047",20230423,1200,1.57095931158323,1.89466788790067,52,0.000634920634920635,1575,34.43145,0.573976620337917
91000084,"DMU1048",20230423,1200,1.63163433486574,4.08883029685259,64,0,758,34.72505,0.783022551403194
91000085,"DMU1052",20230426,1200,0.951099682439352,4.22313609881159,44,0.00615384615384615,325,31.7069,0.865326271896285
91000086,"DMU1072",20230424,1200,1.27480587941125,1.9949132256649,70,0.000660356592559982,4543,34.2435,0.605859271737934
91000099,"HSD_G_SB_OCS",20230421,1200,1.51928539054028,5.49004076219021,82,0.014,500,34.4746,0.889696655731486
91000100,"HSD_B_CS",20230420,1200,1.37222307782762,4.57332459087919,55,0.0165289256198347,363,34.1474,0.852105197238105
91000101,"HSD_F_SB_OCS",20230419,1200,1.47063319652637,5.75737194026517,106,0.00943396226415094,530,34.88985,0.893266177767864
91000102,"HSD_F_SB_ref_OCS",20230419,1200,1.06237002609902,5.32146932380478,71,0.0214797136038186,419,34.88985,0.921910898242518
91000103,"HSD_C_SB_CS",20230418,1200,1.91940262165077,2.1900735725973,69,0,3068,33.79175,0.580711079660196
91200013,"Thyborøn habitat",20230420,1200,1.27302631578947,3.84868521380672,24,0,70,34.1474,0.778566706995488
91200019,"Thorsminde habitat",20230424,1200,1.1126069807956,3.57699169563482,47,0,439,6.094515,1.08993312921274
91320090,"BF_RIN",20230419,1200,2.8680546071611,2.78754306030804,13,0,1657,14.1410888888889,0.820895408633311
91650023,"LISD0012",20230530,1200,3.04988154835723,1.77666142783982,14,0,696,28.96055,0.47426545486539
91650026,"LISD0015",20230418,1200,3.0375,0.886866252165014,4,0,114,28.96055,0.375948088849063
91650028,"LISD0017",20230417,1200,2.54375,2.50427436363413,11,0,40,28.96055,0.575306442699389
91650030,"LISD0022",20230417,1200,3.02898746797259,0.276136398671139,18,0,3730,28.96055,0.313524945352289
91650033,"LISD0025",20230417,1200,3.9,0.970950594454669,2,0,5,28.96055,0.261433946312255
91650035,"LISD0027",20230417,1200,2.78571428571429,1.80920003269781,4,0,14,28.96055,0.461823056402868
92000070,"DMU1133",20230418,1200,2.35880102040816,2.82641614029762,38,0,256,34.88985,0.605291100930414
92110008,"2210",20230417,1200,0.84839872516451,3.45634716920529,51,0,969,33.5170466666667,0.784261537250416
93000154,"Område e",20230524,1200,1.72437241528672,5.26225442151872,129,0.00217076700434153,1382,31.4531,0.87619607682908
93000255,"158",20230425,1200,1.29830062410708,2.71274379693355,13,0,67,33.1961166666667,0.669923309885073
93000256,"16N21",20230425,1200,1.67833333333333,2.66128827029691,12,0,42,33.1961166666667,0.632331090563763
93000258,"155",20230511,1200,1.3504367201426,4.18036648090998,33,0,132,31.0788043478261,0.833561403580369
93000259,"P 6",20230523,1200,1.71951961082396,4.07237181772707,28,0,85,33.6972826086957,0.773984916950836
93000261,"P26",20230511,1200,0.946101184013108,4.46592609882384,45,0,259,31.0788043478261,0.895145302027955
93000263,"409",20230223,1200,1.95097778479541,2.83803913456236,27,0.0135135135135135,370,28.1113130434783,0.671757417240528
93000264,"P11",20230425,1200,1.53307210031348,2.85448819195613,32,0,194,33.9093333333333,0.670586101698142
93000265,"P9",20230523,1200,2.05821428571429,4.000978092779,20,0,38,31.0788043478261,0.750362682240695
93000266,"P35",20230523,1200,1.30552223888056,3.38232980526156,31,0,136,31.3815666666667,0.752344501431663
93000269,"P23",20230223,1200,1.65442736293984,3.92271945243884,38,0,235,31.5793571428571,0.784316110027028
93010001,"Læsø Syd",20230421,1200,1.07817003741005,3.45241377287803,46,0,828,33.9093333333333,0.765026705933278
93010002,"Nordre Rønner",20230516,1200,1.41092138521961,4.13297739120655,53,0,597,33.1961166666667,0.813491422029744
93020014,"42",20230511,1200,0.969642857142857,4.23782019804216,28,0,76,31.0788043478261,0.861633123214875
93020015,"49",20230511,1200,1.99018303470297,3.35463503994105,31,0.00327868852459016,305,31.0788043478261,0.705709618312261
93100055,"1402",20230523,1200,1.86195054945055,3.94343540722725,39,0.0075187969924812,133,32.8976347826087,0.759879970432442
93220017,"BF12",20230503,1200,2.65972755685323,2.00217413203564,42,0.00217509516041327,1839,18.90245,0.64749566027337
93500119,"HB01",20230512,1200,1.4428063656591,3.99711102686225,74,0.000841042893187553,1189,28.5161826086957,0.833619601601209
93610081,"MF01",20230222,1200,2.98270075159135,2.73387620102256,29,0,631,16.27307,0.765649683886122
93620005,"4404",20230515,1200,2.12419545124515,3.31671146254874,29,0,625,27.0065333333333,0.726738569035929
93730012,"Løgstør omr",20230329,1200,2.08786684453068,3.38757572074065,33,0,215,27.247165,0.731383415540369
93740049,"Skive omr",20230331,1200,4.36380095023778,3.32634616540023,34,0.00651465798045603,614,25.6025285714286,0.58966000129973
93800021,"P21",20230425,1200,1.61910297545592,2.81930996393652,20,0,139,33.54355,0.661389728177096
93900054,"1416",20230425,1200,1.57323975044563,3.86611279068526,25,0,59,32.7784565217391,0.766046288987904
93920067,"P46",20230425,1200,2.28339580224613,2.32638561281112,27,0,416,32.7784565217391,0.571181421539486
94010213,"14",20230223,1200,2.02604214986619,4.4108440492149,46,0.0040983606557377,244,29.5961222222222,0.824924408342524
94120008,"BF_SEJ",20230517,1200,2.14026595699341,4.33177296849971,61,0.00161812297734628,1236,29.1714045454545,0.814688977369566
94230077,"BF10_1",20230306,1200,3.80918256075163,4.08974532901238,59,0.00208768267223382,1437,22.410188,0.769912889766014
94230078,"BF10_2",20230306,1200,3.47083800041308,2.77898849083839,47,0.000620347394540943,4836,13.759325,0.784063669349737
94260043,"Naeraa strand",20230516,1200,3.74461442661084,2.84499164198147,28,0,2112,19.5020875,0.672714726519119
94300020,"LI",20230413,1200,2.21534465459276,4.52310834817043,52,0,335,26.8600791666667,0.846478957428788
94300020,"LI",20230517,1200,2.54911233234902,3.84165263966585,44,0,250,26.8600791666667,0.756028706454353
94300047,"EN03",20230516,1200,2.64168565361553,4.11728793226062,92,0.00130694548170276,5356,27.1266111111111,0.778929928589162
94400049,"AB01",20231005,1200,1.92638056162425,1.03308154358157,38,0,3463,27.8906583333333,0.476654077640672
95110015,"Aebeloe",20230301,1200,2.93631826510729,4.59254982020231,73,0,2946,19.5020875,0.855563059255807
95130028,"VF",20230508,1200,2.82288356981163,3.45079561631067,31,0.0555555555555556,324,23.0957,0.753628067287343
95300037,"Habitatområde nr. 96",20230515,1200,2.20133061590108,4.74598707674694,98,0.045021645021645,1155,23.697,0.874335371134827
95700008,"FFSB0011",20230321,1200,4.72366854636592,2.02681809828153,10,0.0136986301369863,146,22.2195166666667,0.455100458459049
95920014,"AUGF0013",20230320,1200,1.96153846153846,1.70952633232307,5,0,25,19.8883652173913,0.619915654395698
96100095,"939",20230531,1200,1.51450164915641,5.42448347644544,70,0.0224358974358974,312,26.0732833333333,0.902410067115924
96220322,"BF Karrebæksminde Bugt",20230501,1200,2.86080718329744,2.49118346411233,32,0.00118343195266272,845,19.3805,0.690590390782911
96420201,"BF Nakskov Fjord - Hvidegrund",20230511,1200,3.29707098461524,2.8522808416891,42,0,3095,16.3094222222222,0.760351433010948
96510125,"6500351",20230330,1200,4.3064879441993,2.99136017557527,25,0,303,20.228547826087,0.637930118336907
97200035,"BF27",20230501,1200,1.89228737149471,3.94684863068369,75,0.00074794315632012,1337,31.52019,0.773026042772201
97200067,"S31",20230523,1200,1.51225597839885,2.93265051237857,27,0,239,32.4343869565217,0.687953462275169
97300018,"171",20230608,1200,2.47525862755811,4.93051961284579,94,0.00555114988104679,1261,31.4387333333333,0.822543000412189
98200068,"952",20230310,1200,2.425,2.85538854220753,8,0.0833333333333333,12,21.1870714285714,0.679671323034726
99300044,"HBF0801001",20230328,1200,3.30870123015149,2.36965813868409,24,0.000684931506849315,1460,13.3696111111111,0.740058795264626
99320065,"BF Stege Bugt",20230424,1200,2.66812016372585,3.47360541332163,40,0,5234,11.1200875,0.941287990579591
